timestamp,門診大樓_AH_1_3冰水流量,門診大樓_AH_1_3溫度1,門診大樓_AH_1_3溫度2,門診大樓_AH_1_3冷凍頓,門診大樓_AH_1_3冰水效率,門診大樓_AH_1_3電壓平均,門診大樓_AH_1_3電流平均,門診大樓_AH_1_3輸出功率,門診大樓_AH_1_3輸出功率千瓦時,門診大樓_AH_1_3 EC_FAN直流電壓,門診大樓_AH_1_3 EC_FAN直流電流,門診大樓_AH_1_3 EC_FAN有效功率,門診大樓_AH_1_3 EC_FAN輸出功率千瓦時
2026-09-05T00:00:00.000+08:00,5.0468549728393555,13.863101959228516,12.263916015625,0.15191425383090973,0.0,390.3999938964844,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:01:00.000+08:00,5.4007368087768555,13.835010528564453,12.291748046875,0.17671482264995575,0.0,390.20001220703125,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:02:00.000+08:00,4.490996360778809,13.884502410888672,12.2783203125,0.14472834765911102,0.0,389.79998779296875,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:03:00.000+08:00,0.0,13.91843032836914,12.25,0.0,nan,390.29998779296875,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:04:00.000+08:00,0.0,13.963970184326172,12.257080078125,0.0,nan,390.20001220703125,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:05:00.000+08:00,4.69389533996582,13.988849639892578,12.25,0.14824649691581726,0.0,390.70001220703125,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:06:00.000+08:00,5.03415584564209,13.943485260009766,12.46533203125,0.17049074172973633,0.0,390.29998779296875,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:07:00.000+08:00,4.548549652099609,14.01580810546875,12.34033203125,0.1569291353225708,0.0,390.1000061035156,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:08:00.000+08:00,5.033191204071045,13.973167419433594,12.375,0.14761532843112946,0.0,390.5,0.0,0.0,2543.5,nan,nan,nan,65536.0
2026-09-05T00:09:00.000+08:00,4.620243549346924,14.025325775146484,12.375,0.15359309315681458,0.0,390.20001220703125,0.0,0.0,2543.5,nan,nan,nan,65536.0
