timestamp,醫療大樓_CH1_冰水流量,醫療大樓_CH1_冰水溫度1,醫療大樓_CH1_冰水溫度2,醫療大樓_CH1_冷卻水流量,醫療大樓_CH1_冷卻水溫度1,醫療大樓_CH1_冷卻水溫度2,醫療大樓_CH1_平均電壓,醫療大樓_CH1_平均電流,醫療大樓_CH1_有效功率,醫療大樓_CH1_功率因數,醫療大樓_CH1_頻率,醫療大樓_CH1_輸出功率千瓦時,醫療大樓_CH1_冰水冷凍噸,醫療大樓_CH1_冰水效率,醫療大樓_CH1_冷卻水冷凍噸,醫療大樓_CH1_冷卻水效率
2026-09-13T00:00:00.000+08:00,3711.14892578125,10.986739158630371,7.528428792953491,2761.77099609375,29.974995613098145,34.59765625,388.1999969482422,248.32350158691406,150.92200469970703,0.9044999778270721,59.94499969482422,167864.0,250.86904907226562,0.5975229144096375,251.15003967285156,0.5968543887138367
2026-09-13T00:01:00.000+08:00,3711.76513671875,11.011187553405762,7.51551628112793,2764.898681640625,29.9722900390625,34.66796875,388.5,247.66700744628906,150.61399841308594,0.9039999842643738,59.97999954223633,167867.703125,252.08901977539062,0.5942345261573792,252.31088256835938,0.5937120318412781
2026-09-13T00:02:00.000+08:00,3656.34033203125,10.968371391296387,7.544596195220947,2757.2587890625,29.970840454101562,34.6953125,388.6000061035156,248.49899291992188,151.08799743652344,0.9020000100135803,60.040000915527344,167870.203125,247.69476318359375,0.6035654544830322,247.473876953125,0.6041041612625122
2026-09-13T00:03:00.000+08:00,3795.002197265625,10.990351676940918,7.543510913848877,2746.206298828125,29.97335433959961,34.556640625,388.29998779296875,249.3249969482422,151.12899780273438,0.9010000228881836,59.97999954223633,167872.796875,256.9966125488281,0.5832762122154236,258.2781982421875,0.5803819298744202
2026-09-13T00:04:00.000+08:00,3714.348388671875,10.974902153015137,7.545138835906982,2753.615478515625,29.98160743713379,34.72265625,388.70001220703125,248.375,151.08099365234375,0.9020000100135803,60.0099983215332,167875.203125,251.02267456054688,0.5971572399139404,247.37196350097656,0.605970025062561
2026-09-13T00:05:00.000+08:00,3628.13330078125,10.970240592956543,7.545138835906982,2749.545166015625,29.99120330810547,34.72265625,387.8999938964844,249.0240020751953,151.11599731445312,0.9039999842643738,59.959999084472656,167877.703125,245.71461486816406,0.6100572943687439,259.39044189453125,0.5778933167457581
2026-09-13T00:06:00.000+08:00,3716.429931640625,10.983782768249512,7.54296875,2763.1318359375,29.979299545288086,34.61328125,388.3999938964844,248.67300415039062,151.19700622558594,0.902999997138977,60.040000915527344,167880.40625,255.58958435058594,0.5876608490943909,247.87176513671875,0.6059584617614746
2026-09-13T00:07:00.000+08:00,3706.350341796875,10.95356273651123,7.5774736404418945,2767.32421875,29.987079620361328,34.6953125,388.5,249.9250030517578,151.59100341796875,0.9010000228881836,59.97999954223633,167882.796875,253.75189208984375,0.5923108458518982,258.80413818359375,0.5807480812072754
2026-09-13T00:08:00.000+08:00,3692.162109375,10.968066215515137,7.575846195220947,2738.47412109375,29.985254287719727,34.6669921875,388.6000061035156,249.41299438476562,151.35400390625,0.9010000228881836,59.9900016784668,167885.40625,250.2020263671875,0.6011142134666443,257.9935302734375,0.5829603672027588
2026-09-13T00:09:00.000+08:00,3766.3115234375,10.983317375183105,7.5462236404418945,2757.77587890625,29.97876739501953,34.66796875,388.3999938964844,249.62600708007812,150.8699951171875,0.8970000147819519,59.959999084472656,167887.796875,252.1785888671875,0.5952131152153015,259.2486877441406,0.5789807438850403
2026-09-13T00:10:00.000+08:00,3707.818359375,10.999239921569824,7.54296875,2763.177001953125,29.989219665527344,34.6669921875,388.6000061035156,249.0260009765625,151.23599243164062,0.902999997138977,59.970001220703125,167890.5,250.1825408935547,0.6003616452217102,256.822509765625,0.5848397016525269
2026-09-13T00:11:00.000+08:00,3703.484619140625,10.90351390838623,7.5462236404418945,2762.84228515625,29.98563003540039,34.66796875,388.3999938964844,248.5780029296875,150.85299682617188,0.9020000100135803,59.959999084472656,167892.90625,248.06698608398438,0.6058847308158875,254.8728790283203,0.589705765247345
2026-09-13T00:12:00.000+08:00,3741.6005859375,10.889300346374512,7.512803554534912,2765.0654296875,29.979841232299805,34.66796875,388.29998779296875,248.63800048828125,150.88800048828125,0.9020000100135803,59.9900016784668,167895.40625,254.04754638671875,0.5920151472091675,255.08665466308594,0.5896035432815552
2026-09-13T00:13:00.000+08:00,3688.914306640625,10.837374687194824,7.4837236404418945,2754.568359375,29.960546493530273,34.61328125,388.3999938964844,247.8040008544922,150.60499572753906,0.902999997138977,59.97999954223633,167898.0,251.3753662109375,0.5963193774223328,247.99224853515625,0.6044543981552124
2026-09-13T00:14:00.000+08:00,3668.532470703125,10.856799125671387,7.449760913848877,2752.193115234375,29.983272552490234,34.556640625,388.6000061035156,248.2220001220703,150.92100524902344,0.902999997138977,60.0,167900.40625,249.5780029296875,0.5994117856025696,258.81158447265625,0.5780267119407654
2026-09-13T00:15:00.000+08:00,3686.90234375,10.849032402038574,7.482638835906982,2773.41015625,29.975494384765625,34.6396484375,388.3999938964844,248.3820037841797,150.89700317382812,0.902999997138977,59.959999084472656,167903.0,248.55731201171875,0.6006662845611572,257.5321350097656,0.5797334909439087
2026-09-13T00:16:00.000+08:00,3661.400390625,10.84766674041748,7.481553554534912,2758.655029296875,30.118194580078125,34.72265625,388.3999938964844,247.718994140625,150.5290069580078,0.9039999842643738,59.97999954223633,167905.59375,250.07369995117188,0.5974239110946655,255.98545837402344,0.583626925945282
2026-09-13T00:17:00.000+08:00,3776.3837890625,10.855616569519043,7.481553554534912,2753.6474609375,30.116044998168945,34.66796875,388.5,247.9669952392578,150.81199645996094,0.902999997138977,59.970001220703125,167908.0,250.57476806640625,0.5970274209976196,254.89637756347656,0.5869051814079285
2026-09-13T00:18:00.000+08:00,3764.36865234375,10.87695598602295,7.447591304779053,2748.9560546875,29.99357032775879,34.583984375,388.70001220703125,248.46499633789062,150.9669952392578,0.9039999842643738,59.939998626708984,167910.5,251.5413360595703,0.5951308012008667,252.87820434570312,0.5919845700263977
2026-09-13T00:19:00.000+08:00,3742.519287109375,10.831271171569824,7.482638835906982,2755.74609375,29.98274040222168,34.72265625,388.79998779296875,247.16299438476562,150.61700439453125,0.9039999842643738,59.970001220703125,167913.0,254.49005126953125,0.5870563387870789,249.33274841308594,0.5991992950439453
2026-09-13T00:20:00.000+08:00,3685.535400390625,10.845149040222168,7.44921875,2762.5751953125,29.971904754638672,34.5,389.0,247.50999450683594,150.43600463867188,0.9020000100135803,59.959999084472656,167915.40625,246.708251953125,0.6067895889282227,239.97064208984375,0.6238263249397278
2026-09-13T00:21:00.000+08:00,3759.32861328125,10.875834465026855,7.419053554534912,2741.548583984375,29.97174644470215,34.6396484375,388.79998779296875,247.72300720214844,150.36599731445312,0.9020000100135803,59.95000076293945,167917.90625,253.33004760742188,0.5869812965393066,247.89100646972656,0.599860429763794
2026-09-13T00:22:00.000+08:00,3619.97412109375,10.822482109069824,7.42176628112793,2761.9443359375,29.974271774291992,34.556640625,388.70001220703125,247.9250030517578,150.49600219726562,0.9010000228881836,59.959999084472656,167920.59375,245.75245666503906,0.6083357334136963,247.4977569580078,0.6040458679199219
2026-09-13T00:23:00.000+08:00,3603.92041015625,10.7829008102417,7.420138835906982,2751.833251953125,29.96381950378418,34.61328125,387.8999938964844,248.12100219726562,150.2010040283203,0.9010000228881836,59.97999954223633,167923.09375,245.14332580566406,0.6086235642433167,259.0943298339844,0.5758520364761353
2026-09-13T00:24:00.000+08:00,3754.112548828125,10.822871208190918,7.451930999755859,2778.720703125,29.95680046081543,34.640625,388.1000061035156,249.08200073242188,150.6699981689453,0.9010000228881836,59.959999084472656,167925.5,256.83160400390625,0.581314742565155,257.4364929199219,0.579948902130127
2026-09-13T00:25:00.000+08:00,3709.977294921875,10.7844877243042,7.450846195220947,2742.7197265625,29.955350875854492,34.640625,387.8999938964844,248.8260040283203,150.6999969482422,0.9010000228881836,59.959999084472656,167928.09375,252.88247680664062,0.5931955575942993,258.6097106933594,0.5757877826690674
2026-09-13T00:26:00.000+08:00,3717.074951171875,10.848139762878418,7.48046875,2748.744873046875,29.972980499267578,34.6953125,387.79998779296875,248.86000061035156,150.91600036621094,0.9020000100135803,59.95000076293945,167930.5,252.4857635498047,0.5917165279388428,247.55450439453125,0.6035034656524658
2026-09-13T00:27:00.000+08:00,3662.494873046875,10.77563762664795,7.451930999755859,2742.114990234375,29.965959548950195,34.5,388.20001220703125,248.86700439453125,150.81399536132812,0.9010000228881836,59.959999084472656,167933.203125,247.46127319335938,0.6033267378807068,258.0734558105469,0.5785174369812012
2026-09-13T00:28:00.000+08:00,3747.128662109375,10.822222709655762,7.420138835906982,2752.1171875,29.955883026123047,34.5,387.5,248.81399536132812,150.4239959716797,0.9010000228881836,59.959999084472656,167935.59375,248.43597412109375,0.6013621687889099,247.67083740234375,0.6032199859619141
2026-09-13T00:29:00.000+08:00,3673.653076171875,10.799769401550293,7.4212236404418945,2746.299072265625,29.938194274902344,34.66796875,387.70001220703125,249.1020050048828,150.65199279785156,0.9010000228881836,59.959999084472656,167938.09375,246.4001007080078,0.6026782989501953,257.7898254394531,0.5760506391525269
2026-09-13T00:30:00.000+08:00,3641.185546875,10.7688627243042,7.418510913848877,2764.834716796875,29.942543029785156,34.556640625,387.70001220703125,249.197998046875,150.6490020751953,0.9020000100135803,59.970001220703125,167940.703125,241.3727569580078,0.6185453534126282,254.9209747314453,0.5856716632843018
2026-09-13T00:31:00.000+08:00,3733.1591796875,10.711092948913574,7.4212236404418945,2744.27490234375,29.92758560180664,34.6953125,388.29998779296875,248.60000610351562,150.56100463867188,0.9020000100135803,60.029998779296875,167943.09375,251.3712158203125,0.5947379469871521,259.82366943359375,0.5753902792930603
2026-09-13T00:32:00.000+08:00,3720.88134765625,10.717913627624512,7.388346195220947,2759.416015625,29.929576873779297,34.6953125,387.79998779296875,247.89500427246094,150.2519989013672,0.9020000100135803,59.97999954223633,167945.59375,249.38739013671875,0.5982660055160522,254.1166534423828,0.587131917476654
2026-09-13T00:33:00.000+08:00,3661.151611328125,10.756556510925293,7.354926109313965,2748.398681640625,29.93170738220215,34.6953125,388.5,248.23300170898438,150.32899475097656,0.9010000228881836,60.02000045776367,167948.09375,244.2324981689453,0.6096649765968323,248.4964599609375,0.5992037057876587
2026-09-13T00:34:00.000+08:00,3645.819580078125,10.643595695495605,7.450303554534912,2757.134033203125,29.890058517456055,34.72265625,388.0,235.3939971923828,141.78700256347656,0.8960000276565552,60.040000915527344,167950.59375,242.56674194335938,0.6155006885528564,257.48028564453125,0.5798502564430237
2026-09-13T00:35:00.000+08:00,3714.78759765625,10.671931266784668,7.575846195220947,2737.95068359375,29.906108856201172,34.25,388.29998779296875,228.9499969482422,137.35800170898438,0.8920000195503235,60.02000045776367,167952.90625,249.37042236328125,0.5971037149429321,257.427490234375,0.5784152746200562
2026-09-13T00:36:00.000+08:00,3705.521728515625,10.66657543182373,7.701388835906982,2763.7646484375,29.9421329498291,34.111328125,387.8999938964844,225.46600341796875,135.21400451660156,0.8920000195503235,59.959999084472656,167955.09375,246.66598510742188,0.6036503314971924,250.6470947265625,0.594062328338623
2026-09-13T00:37:00.000+08:00,3701.655517578125,10.750704765319824,7.638888835906982,2743.575439453125,29.92744255065918,34.140625,388.0,256.3840026855469,155.99899291992188,0.9049999713897705,59.9900016784668,167957.5,243.52377319335938,0.5843371748924255,259.5998229980469,0.5481513738632202
