timestamp,門診大樓_AH_3_2冰水流量,門診大樓_AH_3_2溫度1,門診大樓_AH_3_2溫度2,門診大樓_AH_3_2冷凍頓,門診大樓_AH_3_2冰水效率,門診大樓_AH_3_2電壓平均,門診大樓_AH_3_2電流平均,門診大樓_AH_3_2輸出功率,門診大樓_AH_3_2輸出功率千瓦時,門診大樓_AH_3_2_1 EC_FAN直流電壓,門診大樓_AH_3_2_1 EC_FAN直流電流,門診大樓_AH_3_2_1 EC_FAN有效功率,門診大樓_AH_3_2_1 EC_FAN輸出功率千瓦時,門診大樓_AH_3_2_2 EC_FAN直流電壓,門診大樓_AH_3_2_2 EC_FAN直流電流,門診大樓_AH_3_2_2 EC_FAN有效功率,門診大樓_AH_3_2_2 EC_FAN輸出功率千瓦時,門診大樓_AH_3_2_3 EC_FAN直流電壓,門診大樓_AH_3_2_3 EC_FAN直流電流,門診大樓_AH_3_2_3 EC_FAN有效功率,門診大樓_AH_3_2_3 EC_FAN輸出功率千瓦時
2026-09-04T00:00:00.000+08:00,702.7673950195312,9.258167266845703,10.4862060546875,25.99765396118164,0.13755087554454803,386.8999938964844,3.063499927520752,1.7894999980926514,1701.75,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:01:00.000+08:00,696.6023559570312,9.192729949951172,9.423583984375,25.293907165527344,0.14129884541034698,387.20001220703125,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:02:00.000+08:00,687.6878662109375,9.290534973144531,9.479248046875,25.573163986206055,0.13999049365520477,387.0,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:03:00.000+08:00,299.8331604003906,9.394695281982422,9.632080078125,2.628357410430908,0.0,387.1000061035156,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:04:00.000+08:00,0.0,9.459087371826172,9.791748046875,0.0,nan,387.29998779296875,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:05:00.000+08:00,0.0,9.487678527832031,9.819580078125,0.0,nan,386.8999938964844,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:06:00.000+08:00,0.0,9.509262084960938,9.95849609375,0.0,nan,387.0,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:07:00.000+08:00,0.0,9.505962371826172,9.986083984375,0.0,nan,387.0,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:08:00.000+08:00,0.0,9.55093002319336,10.03515625,0.0,nan,387.29998779296875,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:09:00.000+08:00,0.0,9.543983459472656,10.076416015625,0.0,nan,387.79998779296875,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:10:00.000+08:00,0.0,9.56039047241211,10.1669921875,0.0,nan,387.5,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:11:00.000+08:00,0.0,9.606826782226562,10.1669921875,0.0,nan,387.70001220703125,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-04T00:12:00.000+08:00,0.0,9.622920989990234,10.2294921875,0.0,nan,387.5,0.0,0.0,1701.800048828125,nan,nan,nan,65536.0,nan,nan,nan,65536.0,nan,nan,nan,65536.0
