timestamp,門診大樓_AH_1_3冰水流量,門診大樓_AH_1_3溫度1,門診大樓_AH_1_3溫度2,門診大樓_AH_1_3冷凍頓,門診大樓_AH_1_3冰水效率,門診大樓_AH_1_3電壓平均,門診大樓_AH_1_3電流平均,門診大樓_AH_1_3輸出功率,門診大樓_AH_1_3輸出功率千瓦時,門診大樓_AH_1_3 EC_FAN直流電壓,門診大樓_AH_1_3 EC_FAN直流電流,門診大樓_AH_1_3 EC_FAN有效功率,門診大樓_AH_1_3 EC_FAN輸出功率千瓦時
2026-09-14T00:00:00.000+08:00,0.27146095037460327,22.34379768371582,22.070068359375,0.0019638161174952984,0.0,386.1000061035156,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:01:00.000+08:00,0.3066555857658386,22.32956886291504,22.0703125,0.001850818982347846,0.0,386.20001220703125,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:02:00.000+08:00,0.0,22.33558464050293,22.0419921875,0.0,nan,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:03:00.000+08:00,0.17536616325378418,22.333538055419922,22.08349609375,0.0010077384067699313,0.0,385.8999938964844,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:04:00.000+08:00,0.07112934440374374,22.345449447631836,22.01416015625,3.880137228406966E-4,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:05:00.000+08:00,0.4416871964931488,22.25220489501953,22.20849609375,0.002165513811632991,0.0,385.8999938964844,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:06:00.000+08:00,0.3231651186943054,22.370622634887695,22.111328125,0.0020013630855828524,0.0,385.8999938964844,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:07:00.000+08:00,0.09315330535173416,22.250829696655273,22.125,5.898508243262768E-4,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:08:00.000+08:00,0.372970849275589,22.365964889526367,22.22265625,0.0019895604345947504,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:09:00.000+08:00,0.0,22.356670379638672,22.083984375,0.0,nan,385.6000061035156,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:10:00.000+08:00,0.5120019316673279,22.36993408203125,22.083984375,0.0027228316757827997,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:11:00.000+08:00,0.7370317578315735,22.355432510375977,22.056640625,0.00101589469704777,0.0,385.6000061035156,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:12:00.000+08:00,0.20880840718746185,22.2554874420166,22.236328125,0.001027772668749094,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:13:00.000+08:00,0.7527545094490051,22.25945472717285,22.15283203125,0.004270823672413826,0.0,385.29998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:14:00.000+08:00,0.8950012922286987,22.373905181884766,22.0703125,0.006358113139867783,0.0,385.20001220703125,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:15:00.000+08:00,0.6897711753845215,22.2554874420166,22.20849609375,0.004017426632344723,0.0,384.70001220703125,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:16:00.000+08:00,0.7485136389732361,22.266157150268555,22.22265625,0.004264240153133869,0.0,385.70001220703125,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:17:00.000+08:00,0.4140951633453369,22.27067756652832,22.181640625,0.0028095890302211046,0.0,385.29998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:18:00.000+08:00,1.4280884265899658,22.268753051757812,22.19482421875,0.002072995761409402,0.0,385.29998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:19:00.000+08:00,0.8703070282936096,22.270814895629883,22.236328125,0.0019698378164321184,0.0,385.29998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:20:00.000+08:00,0.3610101640224457,22.26411247253418,22.236328125,0.0021413597278296947,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:21:00.000+08:00,0.2480243593454361,22.284631729125977,22.208984375,4.5499001862481236E-4,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:22:00.000+08:00,0.7886067628860474,22.284631729125977,22.19482421875,9.535802528262138E-4,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:23:00.000+08:00,0.30015766620635986,22.271366119384766,22.236328125,7.779241423122585E-4,0.0,385.79998779296875,0.0,0.0,2631.5,nan,nan,nan,65536.0
2026-09-14T00:24:00.000+08:00,0.41554951667785645,22.284631729125977,22.20849609375,6.766318110749125E-4,0.0,386.20001220703125,0.0,0.0,2631.5,nan,nan,nan,65536.0
