timestamp,門診大樓_AH_2_2冰水流量,門診大樓_AH_2_2溫度1,門診大樓_AH_2_2溫度2,門診大樓_AH_2_2冷凍頓,門診大樓_AH_2_2冰水效率,門診大樓_AH_2_2電壓平均,門診大樓_AH_2_2電流平均,門診大樓_AH_2_2輸出功率,門診大樓_AH_2_2輸出功率千瓦時,門診大樓_AH_2_2_1 EC_FAN直流電壓,門診大樓_AH_2_2_1 EC_FAN直流電流,門診大樓_AH_2_2_1 EC_FAN有效功率,門診大樓_AH_2_2_1 EC_FAN輸出功率千瓦時,門診大樓_AH_2_2_2 EC_FAN直流電壓,門診大樓_AH_2_2_2 EC_FAN直流電流,門診大樓_AH_2_2_2 EC_FAN有效功率,門診大樓_AH_2_2_2 EC_FAN輸出功率千瓦時
2026-09-07T00:00:00.000+08:00,0.0,21.563859939575195,21.111328125,0.0,nan,389.3999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:01:00.000+08:00,0.0,21.569143295288086,21.0,0.0,nan,389.5,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:02:00.000+08:00,0.0,21.546554565429688,21.0,0.0,nan,389.29998779296875,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:03:00.000+08:00,0.0,21.551246643066406,21.04150390625,0.0,nan,389.70001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:04:00.000+08:00,0.0,21.549222946166992,21.111328125,0.0,nan,389.8999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:05:00.000+08:00,0.0,21.56450653076172,21.0,0.0,nan,389.8999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:06:00.000+08:00,0.0,21.543941497802734,21.0,0.0,nan,390.0,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:07:00.000+08:00,0.0,21.575193405151367,21.056640625,0.0,nan,390.70001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:08:00.000+08:00,0.0,21.589120864868164,21.0703125,0.0,nan,390.1000061035156,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:09:00.000+08:00,0.0,21.57383918762207,21.083984375,0.0,nan,390.20001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:10:00.000+08:00,0.0,21.57246208190918,21.09765625,0.0,nan,390.1000061035156,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:11:00.000+08:00,0.0,21.575801849365234,21.0,0.0,nan,390.3999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:12:00.000+08:00,0.0,21.579063415527344,21.111328125,0.0,nan,390.3999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:13:00.000+08:00,0.0,21.603736877441406,21.111328125,0.0,nan,390.5,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:14:00.000+08:00,0.0,21.58774757385254,21.06982421875,0.0,nan,390.20001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:15:00.000+08:00,0.0,21.57574462890625,21.09765625,0.0,nan,390.6000061035156,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:16:00.000+08:00,0.0,21.563859939575195,21.06982421875,0.0,nan,390.29998779296875,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:17:00.000+08:00,0.0,21.589771270751953,21.0703125,0.0,nan,390.29998779296875,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:18:00.000+08:00,0.0,21.57442855834961,21.083984375,0.0,nan,390.5,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:19:00.000+08:00,0.0,21.576452255249023,21.09765625,0.0,nan,390.3999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:20:00.000+08:00,0.0,21.581087112426758,21.083984375,0.0,nan,390.3999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:21:00.000+08:00,0.0,21.58709716796875,21.0703125,0.0,nan,390.3999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:22:00.000+08:00,0.0,21.61236000061035,21.0,0.0,nan,390.3999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:23:00.000+08:00,0.0,21.598983764648438,21.06982421875,0.0,nan,390.20001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:24:00.000+08:00,0.0,21.732666015625,21.0703125,0.0,nan,390.20001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:25:00.000+08:00,0.0,21.5983943939209,21.08349609375,0.0,nan,390.29998779296875,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:26:00.000+08:00,0.0,21.602970123291016,21.08349609375,0.0,nan,390.20001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:27:00.000+08:00,0.0,21.602970123291016,21.0,0.0,nan,390.20001220703125,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:28:00.000+08:00,0.0,21.6329288482666,21.0703125,0.0,nan,390.5,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:29:00.000+08:00,0.0,21.60499382019043,21.01416015625,0.0,nan,389.8999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:30:00.000+08:00,0.0,21.594289779663086,21.0,0.0,nan,389.79998779296875,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:31:00.000+08:00,0.0,21.505905151367188,21.208984375,0.0,nan,389.8999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:32:00.000+08:00,0.0,21.616287231445312,21.111328125,0.0,nan,389.8999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:33:00.000+08:00,0.0,21.608274459838867,21.01416015625,0.0,nan,389.8999938964844,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
2026-09-07T00:34:00.000+08:00,0.0,21.601654052734375,21.0419921875,0.0,nan,390.0,0.0,0.0,1144.699951171875,nan,nan,nan,65536.0,nan,nan,nan,65536.0
